284.932, 130.681, 8.485,  6.689 False
284.650, 130.697, 8.482,  6.722 False
284.368, 130.712, 8.479,  6.755 False
284.086, 130.726, 8.476,  6.788 False
283.804, 130.739, 8.473,  6.821 False
283.521, 130.752, 8.471,  6.854 False
283.239, 130.764, 8.468,  6.887 False
282.958, 130.775, 8.465,  6.920 False
282.676, 130.785, 8.462,  6.953 False
282.394, 130.794, 8.459,  6.986 False
282.112, 130.801, 8.456,  7.019 False
281.830, 130.808, 8.454,  7.052 False
281.549, 130.813, 8.451,  7.085 False
281.267, 130.818, 8.449,  7.118 False
280.986, 130.821, 8.446,  7.151 False
280.704, 130.825, 8.444,  7.184 False
280.423, 130.830, 8.442,  7.217 False
280.141, 130.834, 8.440,  7.250 False
279.860, 130.838, 8.438,  7.283 False
279.579, 130.841, 8.435,  7.316 False
279.298, 130.844, 8.433,  7.349 False
279.017, 130.846, 8.430,  7.382 False
278.736, 130.848, 8.428,  7.415 False
278.455, 130.850, 8.426,  7.448 False
278.174, 130.851, 8.424,  7.481 False
277.894, 130.852, 8.422,  7.514 False
277.613, 130.853, 8.420,  7.547 False
277.332, 130.854, 8.418,  7.580 False
277.052, 130.854, 8.416,  7.613 False
276.771, 130.855, 8.414,  7.646 False
276.491, 130.855, 8.412,  7.679 False
276.211, 130.854, 8.410,  7.712 False
275.930, 130.854, 8.408,  7.745 False
275.650, 130.853, 8.406,  7.778 False
275.370, 130.852, 8.404,  7.811 False
275.090, 130.850, 8.403,  7.844 False
274.810, 130.849, 8.401,  7.877 False
274.530, 130.848, 8.399,  7.910 False
274.250, 130.846, 8.398,  7.943 False
273.970, 130.844, 8.396,  7.976 False
273.690, 130.842, 8.395,  8.009 False
273.410, 130.839, 8.393,  8.042 False
273.131, 130.837, 8.392,  8.075 False
272.851, 130.834, 8.390,  8.108 False
272.571, 130.830, 8.389,  8.141 False
272.292, 130.827, 8.388,  8.174 False
272.012, 130.824, 8.386,  8.207 False
271.733, 130.820, 8.385,  8.240 False
271.453, 130.816, 8.383,  8.273 False
271.174, 130.812, 8.382,  8.306 False
270.895, 130.807, 8.381,  8.339 False
270.615, 130.803, 8.380,  8.372 False
270.336, 130.798, 8.379,  8.405 False
270.057, 130.793, 8.377,  8.438 False
269.778, 130.787, 8.376,  8.471 False
269.499, 130.782, 8.375,  8.504 False
269.219, 130.776, 8.374,  8.537 False
268.940, 130.771, 8.373,  8.570 False
268.661, 130.765, 8.372,  8.603 False
268.382, 130.759, 8.371,  8.636 False
268.103, 130.752, 8.370,  8.669 False
267.824, 130.746, 8.370,  8.702 False
267.546, 130.740, 8.369,  8.735 False
267.267, 130.733, 8.368,  8.768 False
266.988, 130.727, 8.367,  8.801 False
266.709, 130.720, 8.366,  8.834 False
266.430, 130.713, 8.365,  8.867 False
266.152, 130.706, 8.364,  8.900 False
265.873, 130.698, 8.364,  8.933 False
265.594, 130.690, 8.363,  8.966 False
265.316, 130.682, 8.362,  8.999 False
265.037, 130.675, 8.361,  9.032 False
264.758, 130.667, 8.361,  9.065 False
264.480, 130.659, 8.360,  9.098 False
264.201, 130.651, 8.359,  9.131 False
263.923, 130.643, 8.359,  9.164 False
263.644, 130.635, 8.358,  9.197 False
263.366, 130.626, 8.357,  9.230 False
263.088, 130.618, 8.357,  9.263 False
262.809, 130.609, 8.356,  9.296 False
262.531, 130.600, 8.356,  9.329 False
262.252, 130.591, 8.355,  9.362 False
261.974, 130.582, 8.354,  9.395 False
261.696, 130.573, 8.354,  9.428 False
261.417, 130.564, 8.353,  9.461 False
261.139, 130.555, 8.353,  9.494 False
260.861, 130.546, 8.352,  9.527 False
260.583, 130.537, 8.352,  9.560 False
260.304, 130.527, 8.351,  9.593 False
260.026, 130.518, 8.351,  9.626 False
259.748, 130.508, 8.351,  9.659 False
259.470, 130.499, 8.350,  9.692 False
259.192, 130.489, 8.350,  9.725 False
258.914, 130.479, 8.349,  9.758 False
258.635, 130.469, 8.349,  9.791 False
258.357, 130.460, 8.348,  9.824 False
258.079, 130.450, 8.348,  9.857 False
257.801, 130.440, 8.348,  9.890 False
257.523, 130.430, 8.347,  9.923 False
257.245, 130.420, 8.347,  9.956 False
256.967, 130.410, 8.347,  9.989 False
256.689, 130.400, 8.346, 10.022 False
256.411, 130.390, 8.346, 10.055 False
256.133, 130.380, 8.346, 10.088 False
